request_status,date_received,suburb,category,service_desc,days_to_complete
closed,2015-08-20,Carlton,Graffiti,Graffiti Removal,18
closed,2016-03-31,Carlton,Graffiti,Graffiti Removal,6
closed,2016-05-05,Carlton,Graffiti,Graffiti Removal,7
closed,2016-02-22,Carlton,Graffiti,Graffiti Removal,3
closed,2014-11-10,Carlton,Graffiti,Graffiti Removal,8
closed,2016-06-10,Carlton,Graffiti,Graffiti Removal,14
closed,2014-11-18,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2014-11-20,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2014-11-20,Melbourne,Graffiti,Graffiti Removal,5
closed,2014-11-20,East Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-01-15,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,6
closed,2015-01-16,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,5
closed,2015-01-16,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,5
closed,2015-01-19,Carlton,Parks and Trees,Sport and Playground Facilities,1
closed,2014-11-20,Carlton,"Waste, Street Cleaning and Litter",Waste Collection Services,4
closed,2014-11-20,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,4
closed,2015-01-20,Melbourne,Parks and Trees,Tree Maintenance Services,2
closed,2014-11-25,Carlton,"Waste, Street Cleaning and Litter",Waste Collection Services,2
closed,2014-11-27,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2015-01-21,Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,1
closed,2015-01-22,Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,5
closed,2015-01-23,North Melbourne,Graffiti,Graffiti Removal,10
closed,2015-01-23,North Melbourne,Graffiti,Graffiti Removal,10
closed,2015-01-23,Southbank,"Waste, Street Cleaning and Litter",Damaged Bins,4
closed,2014-11-28,Melbourne,Graffiti,Graffiti Removal,10
closed,2014-11-28,East Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,4
closed,2014-11-30,Kensington,"Waste, Street Cleaning and Litter",Public Litter Bin,2
closed,2014-12-01,Carlton,Parks and Trees,Condition of Assets in Parks,23
closed,2014-12-01,Carlton,Graffiti,Graffiti Removal,7
closed,2015-01-27,North Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,6
closed,2015-01-28,East Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2014-12-02,Melbourne,Graffiti,Graffiti Removal,2
closed,2014-12-02,West Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,2
closed,2015-01-28,Port Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-01-29,Melbourne,Parks and Trees,Park Cleaning,8
closed,2015-01-29,Carlton,"Waste, Street Cleaning and Litter",Public Litter Bin,4
closed,2015-01-30,South Yarra,Parks and Trees,Condition of Assets in Parks,13
closed,2015-01-30,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,5
closed,2014-12-05,Melbourne,Parks and Trees,Tree Maintenance Services,13
closed,2014-12-06,Parkville,Graffiti,Graffiti Removal,9
closed,2014-12-10,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2014-12-15,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,2
closed,2014-12-15,Southbank,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2014-12-15,North Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,2
closed,2014-12-16,Southbank,"Waste, Street Cleaning and Litter",Public Litter Bin,2
closed,2014-12-16,South Yarra,"Waste, Street Cleaning and Litter",Public Litter Bin,3
closed,2014-12-17,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,7
closed,2014-12-17,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2014-12-17,Melbourne,Graffiti,Graffiti Removal,22
closed,2014-12-18,East Melbourne,Parks and Trees,Condition of Assets in Parks,1
closed,2014-12-19,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2014-12-19,East Melbourne,Parks and Trees,Tree Maintenance Services,10
closed,2014-12-19,North Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,3
closed,2014-12-21,East Melbourne,Parks and Trees,Park Cleaning,1
closed,2014-12-24,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2014-12-30,Melbourne,Graffiti,Graffiti Removal,9
closed,2014-12-30,Melbourne,Parking,Parking Compliance Services,1
closed,2014-12-31,Melbourne,Graffiti,Graffiti Removal,13
closed,2015-01-03,Kensington,Parks and Trees,Tree Maintenance Services,5
closed,2015-01-05,Docklands,"Waste, Street Cleaning and Litter",Damaged Bins,2
closed,2015-01-05,West Melbourne,Parks and Trees,Condition of Assets in Parks,7
closed,2015-01-05,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-01-06,East Melbourne,Parks and Trees,Tree Maintenance Services,7
closed,2014-11-10,Melbourne,Parks and Trees,Tree Maintenance Services,2
closed,2014-11-10,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2014-11-10,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2014-11-10,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2014-11-11,South Yarra,Roads and Traffic,Road and Footpath Maintenance,1
closed,2015-01-07,Melbourne,Graffiti,Graffiti Removal,13
closed,2015-01-07,West Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,2
closed,2015-01-08,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2014-11-11,South Yarra,"Waste, Street Cleaning and Litter",Missing Bin,2
closed,2014-11-11,East Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,2
closed,2014-11-13,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2014-11-13,Kensington,Parks and Trees,Tree Maintenance Services,20
closed,2014-11-14,Docklands,Graffiti,Graffiti Removal,10
closed,2015-01-10,Melbourne,Parking,Parking Compliance Services,1
closed,2014-11-17,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-01-13,Carlton,"Waste, Street Cleaning and Litter",Missing Bin,2
closed,2015-01-13,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,8
closed,2015-01-14,Melbourne,Graffiti,Graffiti Removal,13
closed,2015-04-21,Carlton,"Waste, Street Cleaning and Litter",Waste Collection Services,2
closed,2015-06-18,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-06-19,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-03-02,Parkville,Parks and Trees,Condition of Assets in Parks,1
closed,2015-03-03,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-04-24,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,5
closed,2015-04-27,Kensington,"Waste, Street Cleaning and Litter",Damaged Bins,2
closed,2015-04-27,Carlton,Parks and Trees,Tree Maintenance Services,1
closed,2015-06-21,Carlton North,Parks and Trees,Park Cleaning,4
closed,2015-06-22,Parkville,"Waste, Street Cleaning and Litter",Syringe Pick-Up Services,1
closed,2015-06-22,Melbourne,Parks and Trees,Tree Maintenance Services,3
closed,2015-06-23,Carlton,Graffiti,Graffiti Removal,9
closed,2015-06-24,Kensington,Parks and Trees,Condition of Assets in Parks,5
closed,2015-08-15,Melbourne,Graffiti,Graffiti Removal,6
closed,2015-08-17,Melbourne,Graffiti,Graffiti Removal,8
closed,2015-08-17,Melbourne,Graffiti,Graffiti Removal,8
closed,2015-02-26,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2015-02-26,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,15
closed,2015-02-26,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,15
closed,2015-02-26,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,15
closed,2015-04-28,East Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,6
closed,2015-04-29,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-06-24,Carlton,Graffiti,Graffiti Removal,8
closed,2015-06-25,Carlton,Graffiti,Graffiti Removal,7
closed,2015-06-25,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-06-25,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2015-06-26,Carlton,Parks and Trees,Lawns and Irrigation,3
closed,2015-06-27,Melbourne,Graffiti,Graffiti Removal,9
closed,2015-06-29,North Melbourne,Graffiti,Graffiti Removal,9
closed,2015-08-18,Melbourne,"Waste, Street Cleaning and Litter",Dumped Rubbish,2
closed,2015-08-21,Southbank,Parks and Trees,Tree Maintenance Services,17
closed,2015-03-04,Carlton,Parks and Trees,Condition of Assets in Parks,14
closed,2015-03-05,South Yarra,Parks and Trees,Tree Maintenance Services,1
closed,2015-03-05,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-05-03,Melbourne,Graffiti,Graffiti Removal,3
closed,2015-05-04,Melbourne,Graffiti,Graffiti Removal,4
closed,2015-06-29,Parkville,Parks and Trees,Tree Maintenance Services,2
closed,2015-07-01,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-08-21,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-08-22,West Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-08-23,Melbourne,Graffiti,Graffiti Removal,10
closed,2015-08-24,Melbourne,Parks and Trees,Lawns and Irrigation,10
closed,2015-03-06,Carlton,Parking,Parking Compliance Services,1
closed,2015-03-10,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,1
closed,2015-03-10,Melbourne,Graffiti,Graffiti Removal,9
closed,2015-05-04,North Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,1
closed,2015-05-04,Melbourne,Parks and Trees,Condition of Assets in Parks,1
closed,2015-05-04,Kensington,Graffiti,Graffiti Removal,16
closed,2015-05-05,Carlton,Graffiti,Graffiti Removal,3
closed,2015-07-01,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-07-02,Melbourne,Graffiti,Graffiti Removal,6
closed,2015-07-02,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-07-03,North Melbourne,Graffiti,Graffiti Removal,7
closed,2015-07-03,West Melbourne,Graffiti,Graffiti Removal,12
closed,2015-08-26,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-08-26,Melbourne,Parking,Parking Compliance Services,1
closed,2015-08-27,Melbourne,Graffiti,Graffiti Removal,7
closed,2015-03-10,Carlton North,Graffiti,Graffiti Removal,13
closed,2015-03-11,Melbourne,Graffiti,Graffiti Removal,8
closed,2015-03-12,East Melbourne,Parks and Trees,Tree Maintenance Services,8
closed,2015-05-07,East Melbourne,Parks and Trees,Condition of Assets in Parks,1
closed,2015-05-07,North Melbourne,Graffiti,Graffiti Removal,11
closed,2015-05-08,Carlton,Graffiti,Graffiti Removal,12
closed,2015-05-08,Kensington,"Waste, Street Cleaning and Litter",Damaged Bins,7
closed,2015-05-08,South Yarra,"Waste, Street Cleaning and Litter",Public Litter Bin,6
closed,2015-07-04,Carlton,Graffiti,Graffiti Removal,9
closed,2015-07-06,Melbourne,Parks and Trees,Condition of Assets in Parks,1
closed,2015-07-07,South Yarra,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-07-08,Carlton,"Waste, Street Cleaning and Litter",Missing Bin,1
closed,2015-01-31,Docklands,Parks and Trees,Park Cleaning,2
closed,2015-02-02,Docklands,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-02-03,Docklands,Parks and Trees,Condition of Assets in Parks,13
closed,2015-03-13,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-03-13,Docklands,Parks and Trees,Tree Maintenance Services,11
closed,2015-03-14,Melbourne,Parks and Trees,Condition of Assets in Parks,5
closed,2015-05-08,Melbourne,"Waste, Street Cleaning and Litter",Syringe Pick-Up Services,1
closed,2015-05-08,West Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,7
closed,2015-05-11,North Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,4
closed,2015-05-11,Melbourne,Roads and Traffic,Road and Footpath Maintenance,4
closed,2015-05-11,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-05-12,West Melbourne,Graffiti,Graffiti Removal,16
closed,2015-07-09,Parkville,Parks and Trees,Lawns and Irrigation,1
closed,2015-07-09,Melbourne,Graffiti,Graffiti Removal,6
closed,2015-07-10,Kensington,"Waste, Street Cleaning and Litter",Syringe Pick-Up Services,1
closed,2015-02-03,South Yarra,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-02-04,Kensington,"Waste, Street Cleaning and Litter",Damaged Bins,1
closed,2015-02-05,Carlton,"Waste, Street Cleaning and Litter",Missing Bin,1
closed,2015-02-05,North Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,5
closed,2015-03-16,Docklands,Roads and Traffic,Road and Footpath Maintenance,12
closed,2015-03-17,Parkville,Parks and Trees,Tree Maintenance Services,9
closed,2015-03-17,North Melbourne,Graffiti,Graffiti Removal,14
closed,2015-03-18,West Melbourne,Graffiti,Graffiti Removal,14
closed,2015-03-18,Kensington,Parks and Trees,Park Cleaning,14
closed,2015-05-14,Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,1
closed,2015-05-14,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2015-05-15,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,7
closed,2015-05-17,Southbank,Parks and Trees,Condition of Assets in Parks,1
closed,2015-07-14,Carlton,Graffiti,Graffiti Removal,8
closed,2015-02-10,North Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,1
closed,2015-02-10,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-03-19,Kensington,Graffiti,Graffiti Removal,20
closed,2015-03-19,Melbourne,Parks and Trees,Park Cleaning,22
closed,2015-03-23,North Melbourne,Parks and Trees,Condition of Assets in Parks,1
closed,2015-03-24,Kensington,Graffiti,Graffiti Removal,17
closed,2015-05-20,Carlton North,Graffiti,Graffiti Removal,9
closed,2015-05-20,Melbourne,Roads and Traffic,Road and Footpath Maintenance,2
closed,2015-07-15,West Melbourne,Graffiti,Graffiti Removal,13
closed,2015-07-16,West Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,1
closed,2015-07-16,Melbourne,Graffiti,Graffiti Removal,6
closed,2015-07-17,Kensington,Parks and Trees,Tree Maintenance Services,4
closed,2015-07-17,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,4
closed,2015-02-06,West Melbourne,Parks and Trees,Park Cleaning,5
closed,2015-02-09,Kensington,Parks and Trees,Tree Maintenance Services,8
closed,2015-03-26,East Melbourne,Parks and Trees,Condition of Assets in Parks,5
closed,2015-03-27,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,5
closed,2015-05-22,Docklands,Parking,Parking Compliance Services,1
closed,2015-05-22,West Melbourne,Graffiti,Graffiti Removal,13
closed,2015-05-22,Carlton North,Parks and Trees,Tree Maintenance Services,24
closed,2015-05-25,Melbourne,Graffiti,Graffiti Removal,3
closed,2015-05-25,Kensington,Graffiti,Graffiti Removal,7
closed,2015-07-20,East Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,2
closed,2015-07-20,Melbourne,Graffiti,Graffiti Removal,8
closed,2015-07-20,Melbourne,Graffiti,Graffiti Removal,9
closed,2015-07-20,Melbourne,Graffiti,Graffiti Removal,9
closed,2015-07-21,Melbourne,Graffiti,Graffiti Removal,8
closed,2015-07-21,Kensington,"Waste, Street Cleaning and Litter",Public Litter Bin,2
closed,2015-02-11,Carlton North,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-02-12,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-02-12,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-02-12,Parkville,Parks and Trees,Condition of Assets in Parks,11
closed,2015-03-31,Parkville,"Waste, Street Cleaning and Litter",Public Litter Bin,1
closed,2015-03-31,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-04-01,South Yarra,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-05-26,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-05-27,Carlton,Parks and Trees,Tree Maintenance Services,1
closed,2015-07-22,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-07-23,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-07-23,Melbourne,"Waste, Street Cleaning and Litter",Syringe Pick-Up Services,1
closed,2015-07-23,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2015-07-24,North Melbourne,Graffiti,Graffiti Removal,10
closed,2015-07-24,East Melbourne,Graffiti,Graffiti Removal,24
closed,2015-07-24,East Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-02-13,Docklands,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2015-04-01,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,12
closed,2015-04-02,Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,13
closed,2015-04-04,North Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,3
closed,2015-04-07,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-05-29,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-05-29,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,17
closed,2015-07-26,Carlton,Parks and Trees,Park Cleaning,22
closed,2015-07-27,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,7
closed,2015-07-28,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-02-21,Melbourne,Asset Maintenance,Public Toilets,3
closed,2015-04-07,Kensington,"Waste, Street Cleaning and Litter",Damaged Bins,2
closed,2015-04-08,West Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,2
closed,2015-04-09,Melbourne,Graffiti,Graffiti Removal,5
closed,2015-04-09,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,14
closed,2015-06-01,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,2
closed,2015-06-02,Parkville,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-06-03,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-06-03,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-07-30,Kensington,Graffiti,Graffiti Removal,7
closed,2015-07-30,North Melbourne,Parks and Trees,Park Cleaning,18
closed,2015-02-16,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,3
closed,2015-02-17,Melbourne,Parks and Trees,Tree Maintenance Services,6
closed,2015-02-17,Docklands,Graffiti,Graffiti Removal,22
closed,2015-02-18,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,12
closed,2015-04-10,Carlton,"Waste, Street Cleaning and Litter",Waste Collection Services,10
closed,2015-06-05,Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,1
closed,2015-06-05,West Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,4
closed,2015-06-09,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-08-03,Carlton,"Waste, Street Cleaning and Litter",Public Litter Bin,1
closed,2015-08-03,Melbourne,Roads and Traffic,Road and Footpath Maintenance,7
closed,2015-08-04,Melbourne,Graffiti,Graffiti Removal,13
closed,2015-02-23,Melbourne,Graffiti,Graffiti Removal,3
closed,2015-02-23,Melbourne,"Waste, Street Cleaning and Litter",Dumped Rubbish,2
closed,2015-02-24,East Melbourne,"Waste, Street Cleaning and Litter",Syringe Pick-Up Services,1
closed,2015-02-24,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-04-13,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-04-14,Carlton,"Waste, Street Cleaning and Litter",Missing Bin,1
closed,2015-04-14,South Yarra,"Waste, Street Cleaning and Litter",Missing Bin,2
closed,2015-04-14,Carlton,"Waste, Street Cleaning and Litter",Damaged Bins,3
closed,2015-06-10,Southbank,Graffiti,Graffiti Removal,12
closed,2015-06-10,East Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,5
closed,2015-08-04,Parkville,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-08-05,Melbourne,"Waste, Street Cleaning and Litter",Dumped Rubbish,1
closed,2015-08-06,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,1
closed,2015-02-24,Parkville,"Waste, Street Cleaning and Litter",Waste Collection Services,2
closed,2015-02-26,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2015-04-16,North Melbourne,Parks and Trees,Tree Maintenance Services,19
closed,2015-04-16,West Melbourne,Parks and Trees,Condition of Assets in Parks,1
closed,2015-04-16,West Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2015-04-16,Kensington,Parks and Trees,Tree Maintenance Services,5
closed,2015-04-17,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-04-17,Carlton,Graffiti,Graffiti Removal,5
closed,2015-04-20,Carlton,Graffiti,Graffiti Removal,15
closed,2015-06-15,Carlton,Graffiti,Graffiti Removal,10
closed,2015-08-06,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,5
closed,2015-08-07,Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,7
closed,2015-08-07,Melbourne,Graffiti,Graffiti Removal,13
closed,2015-08-08,Melbourne,Graffiti,Graffiti Removal,12
closed,2015-08-10,Melbourne,Parks and Trees,Lawns and Irrigation,1
closed,2015-11-23,Kensington,"Waste, Street Cleaning and Litter",Damaged Bins,3
closed,2015-11-24,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-11-24,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-11-24,Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,1
closed,2015-11-24,Carlton,Parks and Trees,Condition of Assets in Parks,7
closed,2016-01-12,Melbourne,Parks and Trees,Condition of Assets in Parks,1
closed,2016-01-12,Parkville,Parks and Trees,Tree Maintenance Services,2
closed,2016-01-12,Melbourne,Graffiti,Graffiti Removal,2
closed,2016-01-12,Carlton,Parks and Trees,Condition of Assets in Parks,1
closed,2015-10-08,Parkville,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-10-09,Melbourne,Graffiti,Graffiti Removal,17
closed,2015-10-09,Melbourne,Parks and Trees,Condition of Assets in Parks,20
closed,2015-11-25,Kensington,Parks and Trees,Tree Maintenance Services,2
closed,2015-11-26,East Melbourne,Parks and Trees,Tree Maintenance Services,1
closed,2015-11-27,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-11-27,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-11-27,Melbourne,Parking,Parking Compliance Services,1
closed,2016-01-14,Parkville,Parks and Trees,Tree Maintenance Services,6
closed,2016-01-14,Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,1
closed,2016-01-14,Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,6
closed,2016-01-15,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-10-06,Parkville,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-10-06,Southbank,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-10-06,North Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,2
closed,2015-11-27,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-11-29,Kensington,Parks and Trees,Condition of Assets in Parks,4
closed,2015-11-29,West Melbourne,Parks and Trees,Tree Maintenance Services,3
closed,2015-11-30,Carlton,Graffiti,Graffiti Removal,8
closed,2015-11-30,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-12-01,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2016-01-15,Kensington,Parks and Trees,Tree Maintenance Services,4
closed,2016-01-15,Southbank,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2016-01-15,Melbourne,Graffiti,Graffiti Removal,4
closed,2016-01-15,Melbourne,Parks and Trees,Lawns and Irrigation,6
closed,2016-02-22,Carlton,Graffiti,Graffiti Removal,3
closed,2015-10-12,Melbourne,Graffiti,Graffiti Removal,16
closed,2015-10-13,North Melbourne,Graffiti,Graffiti Removal,15
closed,2015-12-01,East Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-12-01,East Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-12-01,East Melbourne,Parks and Trees,Tree Maintenance Services,7
closed,2015-12-02,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-12-03,Melbourne,Graffiti,Graffiti Removal,4
closed,2015-12-03,Melbourne,Graffiti,Graffiti Removal,4
closed,2016-01-19,Melbourne,Graffiti,Graffiti Removal,2
closed,2016-01-19,East Melbourne,"Waste, Street Cleaning and Litter",Syringe Pick-Up Services,1
closed,2016-01-19,Kensington,Parks and Trees,Condition of Assets in Parks,10
closed,2016-01-19,Parkville,Parks and Trees,Condition of Assets in Parks,1
closed,2016-02-23,Melbourne,Graffiti,Graffiti Removal,1
closed,2015-10-14,Carlton,Graffiti,Graffiti Removal,16
closed,2015-10-14,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-10-15,Carlton,Parks and Trees,Condition of Assets in Parks,5
closed,2015-10-15,West Melbourne,Graffiti,Graffiti Removal,15
closed,2015-10-15,Carlton,Parks and Trees,Tree Maintenance Services,11
closed,2015-12-03,South Yarra,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2015-12-04,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2015-12-04,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-12-04,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,6
closed,2015-12-04,Docklands,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2016-01-20,Kensington,Parks and Trees,Tree Maintenance Services,7
closed,2016-01-20,Melbourne,Graffiti,Graffiti Removal,1
closed,2016-01-20,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,6
closed,2016-01-20,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2016-01-21,Carlton,"Waste, Street Cleaning and Litter",Street Cleaning services,1
closed,2016-01-21,North Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,5
closed,2016-01-21,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2016-01-22,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2015-10-16,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-10-16,Melbourne,Parks and Trees,Condition of Assets in Parks,6
closed,2015-10-16,North Melbourne,Graffiti,Graffiti Removal,19
